City,Latitude,Longitude,Population,Median Household Income,Average Home Price
Columbus,39.9612,-82.9988,913175,"$66,990","$346,164"
Cleveland,41.4993,-81.6944,362656,"$37,351","$130,000"
Cincinnati,39.1031,-84.512,309317,"$48,130","$265,500"
Toledo,41.6528,-83.5379,270871,"$39,155","$125,900"
Akron,41.0814,-81.519,189347,"$30,129","$139,950"
Dayton,39.7589,-84.1916,137644,"$34,457","$276,129"
Parma,41.4048,-81.7229,81146,"$58,011","$226,000"
Canton,40.7989,-81.3784,70872,"$32,287","$105,000"
Youngstown,41.0998,-80.6495,60068,"$28,822","$109,500"
Lorain,41.4528,-82.1824,65211,"$40,486","$148,000"
Hamilton,39.3995,-84.5613,63399,"$47,937","$203,000"
Springfield,39.9242,-83.8088,58662,"$39,344","$129,900"
Kettering,39.6895,-84.1688,57862,"$61,974","$240,050"
Elyria,41.3684,-82.1076,52656,"$43,816","$185,500"
Lakewood,41.4822,-81.7982,50002,"$52,534","$220,000"
Cuyahoga Falls,41.1339,-81.4846,49144,"$60,280","$209,900"
Middletown,39.5151,-84.3983,48807,"$42,290","$205,000"
Newark,40.0581,-82.4013,49934,"$45,446","$180,000"
Mansfield,40.7584,-82.5154,46599,"$37,116","$120,000"
Mentor,41.6662,-81.3396,47450,"$66,273","$250,000"
